date;location_key;new_confirmed;new_deceased;new_recovered;new_tested
01/01/2020;BE;0;0;;
02/01/2020;BE;0;0;;
03/01/2020;BE;0;0;;
04/01/2020;BE;0;0;;
05/01/2020;BE;0;0;;
06/01/2020;BE;0;0;;
07/01/2020;BE;0;0;;
08/01/2020;BE;0;0;;
09/01/2020;BE;0;0;;
10/01/2020;BE;0;0;;
11/01/2020;BE;0;0;;
12/01/2020;BE;0;0;;
13/01/2020;BE;0;0;;
14/01/2020;BE;0;0;;
15/01/2020;BE;0;0;;
16/01/2020;BE;0;0;;
17/01/2020;BE;0;0;;
18/01/2020;BE;0;0;;
19/01/2020;BE;0;0;;
20/01/2020;BE;0;0;;
21/01/2020;BE;0;0;;
22/01/2020;BE;0;0;;
23/01/2020;BE;0;0;;
24/01/2020;BE;0;0;;
25/01/2020;BE;0;0;;
26/01/2020;BE;0;0;;
27/01/2020;BE;0;0;;
28/01/2020;BE;0;0;;
29/01/2020;BE;0;0;;
30/01/2020;BE;0;0;;
31/01/2020;BE;0;0;;
01/02/2020;BE;0;0;;
02/02/2020;BE;1;0;;
03/02/2020;BE;0;0;;
04/02/2020;BE;0;0;;
05/02/2020;BE;0;0;;
06/02/2020;BE;0;0;;
07/02/2020;BE;0;0;;
08/02/2020;BE;0;0;;
09/02/2020;BE;0;0;;
10/02/2020;BE;0;0;;
11/02/2020;BE;0;0;;
12/02/2020;BE;0;0;;
13/02/2020;BE;0;0;;
14/02/2020;BE;0;0;;
15/02/2020;BE;0;0;;
16/02/2020;BE;0;0;;
17/02/2020;BE;0;0;;
18/02/2020;BE;0;0;;
19/02/2020;BE;0;0;;
20/02/2020;BE;0;0;;
21/02/2020;BE;0;0;;
22/02/2020;BE;0;0;;
23/02/2020;BE;0;0;;
24/02/2020;BE;0;0;;
25/02/2020;BE;0;0;;
26/02/2020;BE;0;0;;
27/02/2020;BE;0;0;;
28/02/2020;BE;0;0;;
29/02/2020;BE;18;0;;82
01/03/2020;BE;19;0;;317
02/03/2020;BE;19;0;;538
03/03/2020;BE;34;0;;701
04/03/2020;BE;53;0;;773
05/03/2020;BE;81;0;;1119
06/03/2020;BE;110;0;;475
07/03/2020;BE;27;0;;483
08/03/2020;BE;64;1;;610
09/03/2020;BE;94;1;;804
10/03/2020;BE;99;3;;1108
11/03/2020;BE;174;0;;1438
12/03/2020;BE;250;3;;2524
13/03/2020;BE;338;7;;2171
14/03/2020;BE;179;7;;1269
15/03/2020;BE;214;11;;1892
16/03/2020;BE;387;15;;2255
17/03/2020;BE;422;25;;2714
18/03/2020;BE;534;35;;3395
19/03/2020;BE;713;40;;3120
20/03/2020;BE;662;41;;2276
21/03/2020;BE;469;55;;1414
22/03/2020;BE;486;82;;3322
23/03/2020;BE;1328;76;;3975
24/03/2020;BE;1195;111;;4282
25/03/2020;BE;1199;102;;4363
26/03/2020;BE;1363;136;;4930
27/03/2020;BE;1518;143;;3850
28/03/2020;BE;844;145;;2419
29/03/2020;BE;683;171;;4101
30/03/2020;BE;1738;201;;6432
31/03/2020;BE;1681;241;;5891
01/04/2020;BE;1516;214;;6088
02/04/2020;BE;1478;242;;6718
03/04/2020;BE;1694;269;;5368
04/04/2020;BE;922;246;;3828
05/04/2020;BE;665;255;;5840
06/04/2020;BE;1934;276;;7509
07/04/2020;BE;1515;324;;7972
08/04/2020;BE;1598;270;;8224
09/04/2020;BE;2239;304;;8537
10/04/2020;BE;2336;288;;8148
11/04/2020;BE;1029;268;;7287
12/04/2020;BE;524;275;;6698
13/04/2020;BE;537;259;;8163
14/04/2020;BE;1560;280;;10984
15/04/2020;BE;1633;245;;10742
16/04/2020;BE;1674;205;;11300
17/04/2020;BE;1394;210;;10312
18/04/2020;BE;722;186;;7200
19/04/2020;BE;443;208;;11916
20/04/2020;BE;1276;192;;10878
21/04/2020;BE;1270;181;;15588
22/04/2020;BE;777;156;;17379
23/04/2020;BE;976;156;;19068
24/04/2020;BE;811;142;;17193
25/04/2020;BE;388;152;;13879
26/04/2020;BE;205;132;;17472
27/04/2020;BE;755;113;;20371
28/04/2020;BE;569;107;;22660
29/04/2020;BE;522;91;;24870
30/04/2020;BE;586;94;;23551
01/05/2020;BE;237;79;;16482
02/05/2020;BE;286;91;;13430
03/05/2020;BE;140;93;;23199
04/05/2020;BE;670;84;;21521
05/05/2020;BE;546;77;;20762
06/05/2020;BE;552;68;;22031
07/05/2020;BE;442;80;;25882
