date;location_key;new_hospitalized_patients;cumulative_hospitalized_patients;current_hospitalized_patients;new_intensive_care_patients;cumulative_intensive_care_patients;current_intensive_care_patients;new_ventilator_patients;cumulative_ventilator_patients;current_ventilator_patients
15/03/2020;BE;70;70;263;;;53;;;31
16/03/2020;BE;88;158;370;;;79;;;51
17/03/2020;BE;125;283;493;;;100;;;65
18/03/2020;BE;179;462;646;;;130;;;88
19/03/2020;BE;213;675;840;;;164;;;114
20/03/2020;BE;294;969;1108;;;229;;;168
21/03/2020;BE;322;1291;1384;;;290;;;200
22/03/2020;BE;278;1569;1661;;;326;;;240
23/03/2020;BE;268;1837;1883;;;385;;;286
24/03/2020;BE;420;2257;2204;;;487;;;333
25/03/2020;BE;543;2800;2721;;;612;;;422
26/03/2020;BE;494;3294;3111;;;699;;;503
27/03/2020;BE;587;3881;3649;;;789;;;579
28/03/2020;BE;642;4523;4088;;;867;;;656
29/03/2020;BE;545;5068;4536;;;961;;;726
30/03/2020;BE;486;5554;4897;;;1021;;;786
31/03/2020;BE;550;6104;4988;;;1088;;;834
01/04/2020;BE;599;6703;5219;;;1144;;;906
02/04/2020;BE;572;7275;5398;;;1205;;;916
03/04/2020;BE;502;7777;5562;;;1256;;;990
04/04/2020;BE;502;8279;5531;;;1261;;;1002
05/04/2020;BE;360;8639;5620;;;1267;;;1013
06/04/2020;BE;324;8963;5759;;;1260;;;999
07/04/2020;BE;475;9438;5710;;;1276;;;1008
08/04/2020;BE;464;9902;5620;;;1286;;;995
09/04/2020;BE;467;10369;5640;;;1279;;;994
10/04/2020;BE;431;10800;5663;;;1262;;;981
11/04/2020;BE;392;11192;5538;;;1251;;;952
12/04/2020;BE;277;11469;5542;;;1253;;;955
13/04/2020;BE;244;11713;5554;;;1226;;;915
14/04/2020;BE;253;11966;5532;;;1204;;;889
15/04/2020;BE;317;12283;5331;;;1182;;;868
16/04/2020;BE;313;12596;5181;;;1150;;;846
17/04/2020;BE;306;12902;5088;;;1119;;;809
18/04/2020;BE;265;13167;4889;;;1081;;;781
19/04/2020;BE;227;13394;4940;;;1071;;;760
