date;location_key;mobility_retail_and_recreation;mobility_grocery_and_pharmacy;mobility_parks;mobility_transit_stations;mobility_workplaces;mobility_residential
15/02/2020;BE;3;2;29;9;1;-1
16/02/2020;BE;-7;-3;-30;-3;-3;1
17/02/2020;BE;1;2;8;4;4;0
18/02/2020;BE;3;3;18;6;4;0
19/02/2020;BE;3;1;13;5;4;0
20/02/2020;BE;-2;-1;4;3;3;0
21/02/2020;BE;0;3;15;7;2;0
22/02/2020;BE;-4;0;0;2;-2;0
23/02/2020;BE;-7;-7;-27;-2;-4;0
24/02/2020;BE;7;0;7;-11;-24;4
25/02/2020;BE;10;2;29;-8;-23;4
26/02/2020;BE;-1;-5;-4;-11;-21;3
27/02/2020;BE;-2;-2;-15;-15;-23;6
28/02/2020;BE;-1;3;3;-10;-23;5
29/02/2020;BE;-4;2;-7;-2;-5;1
01/03/2020;BE;0;6;-2;5;-1;0
02/03/2020;BE;-4;7;-12;0;3;0
03/03/2020;BE;2;6;11;1;4;0
04/03/2020;BE;1;4;7;1;4;0
05/03/2020;BE;-4;1;-16;-2;2;2
06/03/2020;BE;-1;5;2;3;2;1
07/03/2020;BE;5;3;33;8;2;0
08/03/2020;BE;-1;1;-21;-2;-1;0
09/03/2020;BE;-1;4;6;-1;2;0
10/03/2020;BE;-4;4;-5;-4;1;2
11/03/2020;BE;-4;4;-3;-4;1;2
12/03/2020;BE;-7;23;4;-7;-1;3
13/03/2020;BE;-8;40;-5;-16;-7;5
14/03/2020;BE;-70;-8;0;-34;-27;12
15/03/2020;BE;-66;-18;20;-34;-29;8
16/03/2020;BE;-32;16;7;-43;-36;14
17/03/2020;BE;-36;30;31;-46;-45;16
18/03/2020;BE;-61;-12;7;-56;-52;20
19/03/2020;BE;-75;-23;-19;-67;-61;27
20/03/2020;BE;-79;-22;-50;-71;-62;31
21/03/2020;BE;-84;-39;-34;-67;-51;22
22/03/2020;BE;-79;-45;-20;-63;-48;15
23/03/2020;BE;-74;-25;-20;-70;-65;26
24/03/2020;BE;-74;-21;-8;-69;-66;27
25/03/2020;BE;-76;-29;-19;-69;-65;26
26/03/2020;BE;-77;-25;-25;-72;-66;29
27/03/2020;BE;-78;-21;-27;-70;-65;31
28/03/2020;BE;-83;-36;-38;-67;-51;22
29/03/2020;BE;-84;-53;-66;-76;-52;17
30/03/2020;BE;-76;-30;-35;-72;-66;27
31/03/2020;BE;-75;-25;-18;-71;-66;28
01/04/2020;BE;-76;-31;-18;-69;-64;26
02/04/2020;BE;-77;-27;-38;-73;-66;30
03/04/2020;BE;-79;-21;-38;-72;-65;32
04/04/2020;BE;-82;-32;-30;-64;-50;22
05/04/2020;BE;-76;-36;-13;-60;-46;15
06/04/2020;BE;-74;-27;-19;-69;-66;26
07/04/2020;BE;-72;-19;4;-67;-66;26
08/04/2020;BE;-73;-25;-3;-66;-64;24
09/04/2020;BE;-73;-18;-7;-67;-66;27
10/04/2020;BE;-75;-14;-12;-67;-66;30
11/04/2020;BE;-79;-25;-20;-60;-47;20
12/04/2020;BE;-75;-40;-24;-61;-45;15
13/04/2020;BE;-86;-76;-31;-80;-88;35
14/04/2020;BE;-73;-11;-26;-70;-66;27
15/04/2020;BE;-74;-24;-12;-66;-64;25
16/04/2020;BE;-73;-20;-4;-67;-65;27
17/04/2020;BE;-75;-19;-14;-66;-63;30
18/04/2020;BE;-80;-35;-54;-67;-45;22
19/04/2020;BE;-76;-43;-29;-63;-41;15
20/04/2020;BE;-66;-28;-9;-65;-60;24
21/04/2020;BE;-66;-22;0;-64;-60;25
22/04/2020;BE;-68;-25;-1;-63;-58;23
23/04/2020;BE;-67;-19;2;-63;-60;25
24/04/2020;BE;-71;-19;-17;-64;-59;28
25/04/2020;BE;-75;-28;-25;-58;-39;19
26/04/2020;BE;-70;-33;-3;-54;-36;13
27/04/2020;BE;-63;-26;4;-62;-58;23
