date;location_key;average_temperature_celsius;minimum_temperature_celsius;maximum_temperature_celsius;rainfall_mm;snowfall_mm;dew_point;relative_humidity
01/01/2020;BE;1.594444;-0.827778;4.572222;0.0;;0.572222;93.006469
02/01/2020;BE;3.561111;-0.15;7.888889;0.0;;2.538889;93.069822
03/01/2020;BE;7.905556;3.955556;9.655556;1.947333;;6.427778;90.410586
04/01/2020;BE;4.783333;2.266667;7.05;0.73025;;3.105556;88.929692
05/01/2020;BE;5.933333;5.1;6.916667;0.03175;;3.372222;83.642525
06/01/2020;BE;5.133333;1.961111;8.15;0.0;;1.2;75.765025
07/01/2020;BE;6.527778;3.833333;8.122222;0.85725;;4.977778;89.854104
08/01/2020;BE;10.272222;6.561111;11.605556;1.044222;;9.555556;95.342732
09/01/2020;BE;11.272222;9.888889;12.216667;2.596444;;9.777778;90.579715
10/01/2020;BE;6.966667;4.233333;9.994444;4.741333;;5.372222;89.614395
11/01/2020;BE;4.9;3.361111;6.733333;1.7272;;1.811111;80.463938
12/01/2020;BE;6.216667;3.705556;8.411111;0.282222;;3.827778;84.722938
13/01/2020;BE;7.338889;5.455556;9.838889;0.3175;;5.394444;87.504836
14/01/2020;BE;9.833333;7.977778;11.222222;1.382889;;6.416667;79.363826
15/01/2020;BE;9.522222;5.5;11.655556;1.326444;;5.25;74.721773
16/01/2020;BE;7.611111;2.983333;11.638889;0.2032;;5.005556;83.599667
17/01/2020;BE;8.172222;4.288889;10.016667;0.620889;;4.527778;77.823565
18/01/2020;BE;3.85;0.794444;6.655556;0.127;;1.366667;83.894842
19/01/2020;BE;2.661111;-0.25;6.433333;0.282222;;0.722222;87.129727
20/01/2020;BE;2.333333;-0.3;4.566667;0.0;;1.8;96.284287
21/01/2020;BE;-0.25;-3.127778;3.816667;0.0;;-1.472222;91.598918
22/01/2020;BE;-0.138889;-3.738889;3.205556;0.0;;-0.6;96.73097
23/01/2020;BE;1.994444;0.477778;3.172222;0.0;;1.4;95.876919
24/01/2020;BE;0.622222;-0.416667;1.711111;0.0;;-0.244444;93.963099
25/01/2020;BE;1.411111;-0.761111;3.65;0.0;;0.977778;96.956636
26/01/2020;BE;6.277778;1.098765;9.944444;0.0;;4.049383;85.701568
27/01/2020;BE;7.888889;6.455556;8.733333;3.302;;6.155556;88.840271
28/01/2020;BE;4.761111;2.277778;7.316667;4.797778;10.16;1.794444;81.18058
29/01/2020;BE;4.4;1.966667;6.733333;1.524;;1.155556;79.592888
30/01/2020;BE;7.111111;4.333333;10.648148;0.762;;4.987654;86.380632
31/01/2020;BE;11.191358;9.160494;12.148148;0.79375;;8.987654;86.350772
01/02/2020;BE;10.333333;7.469136;11.802469;11.119556;;7.932099;85.128527
02/02/2020;BE;9.555556;5.987654;12.938272;7.394222;;7.518519;87.165839
03/02/2020;BE;9.259259;4.938272;10.697531;3.245556;10.16;6.759259;84.434365
04/02/2020;BE;4.919753;2.925926;6.382716;12.530667;10.16;2.820988;86.321891
05/02/2020;BE;4.472222;1.472222;7.422222;1.2446;;1.844444;83.102724
06/02/2020;BE;3.383333;-0.2;7.266667;0.0;;0.716667;82.727885
07/02/2020;BE;4.361111;-0.738889;10.6;0.0;;-1.172222;67.407835
08/02/2020;BE;7.911111;4.544444;10.605556;0.959556;;4.538889;79.299228
09/02/2020;BE;9.561111;6.511111;12.522222;0.903111;;6.25;79.874742
10/02/2020;BE;7.588889;4.15;10.322222;6.237111;15.24;3.055556;73.082062
11/02/2020;BE;5.244444;3.277778;7.288889;1.9812;;-0.688889;65.85204
12/02/2020;BE;4.5;2.616667;7.316667;0.3175;;0.338889;74.540781
13/02/2020;BE;6.105556;3.127778;9.144444;4.459111;;3.427778;82.98466
14/02/2020;BE;7.277778;5.361111;9.333333;3.443111;;3.627778;77.671716
15/02/2020;BE;9.688889;6.883333;12.394444;0.028222;;5.544444;75.419552
16/02/2020;BE;12.3;7.211111;16.833333;3.414889;;7.977778;74.93685
17/02/2020;BE;7.888889;6.222222;10.288889;7.704667;10.16;3.544444;74.059019
18/02/2020;BE;6.466667;4.561111;8.622222;1.124857;;2.755556;77.18945
19/02/2020;BE;5.605556;3.3;7.472222;2.286;;2.133333;78.390768
20/02/2020;BE;7.516667;3.361111;9.972222;1.693333;;4.722222;82.501192
21/02/2020;BE;5.633333;2.255556;8.788889;4.4704;;1.561111;75.094707
22/02/2020;BE;7.527778;4.805556;9.944444;0.112889;;4.138889;79.13069
23/02/2020;BE;9.922222;5.9;12.255556;3.781778;;7.577778;85.391837
24/02/2020;BE;8.194444;4.266667;11.594444;2.681111;;5.883333;85.384367
25/02/2020;BE;6.694444;3.183333;9.988889;3.527778;;3.394444;79.538603
26/02/2020;BE;2.988889;0.633333;5.294444;7.083778;15.24;0.522222;83.987547
27/02/2020;BE;1.827778;0.233333;3.1;9.539111;20.32;0.577778;91.446428
28/02/2020;BE;3.716667;0.127778;8.122222;4.741333;20.32;0.855556;81.593643
29/02/2020;BE;8.2;4.211111;12.566667;2.991556;;4.333333;76.653754
01/03/2020;BE;6.394444;4.011111;9.038889;1.3716;;1.944444;73.325211
02/03/2020;BE;5.688889;3.494444;7.783333;3.922889;;3.95;88.607012
03/03/2020;BE;3.827778;1.338889;6.788889;2.624667;;1.605556;85.468456
04/03/2020;BE;5.416667;2.672222;8.255556;1.157111;;3.133333;85.251365
05/03/2020;BE;6.211111;4.672222;7.488889;7.817556;;5.494444;95.175614
06/03/2020;BE;5.127778;3.3;7.266667;8.918222;10.16;3.683333;90.42115
07/03/2020;BE;6.116667;1.333333;9.622222;3.084286;;1.872222;74.243936
08/03/2020;BE;7.711111;6.3;9.294444;3.330222;;5.344444;85.006277
09/03/2020;BE;7.244444;5.277778;9.7;1.636889;;3.616667;77.792635
10/03/2020;BE;10.083333;5.888889;12.794444;10.131778;;8.783333;91.657734
11/03/2020;BE;12.3;11.15;13.966667;9.595556;;10.527778;88.965354
12/03/2020;BE;8.905556;5.055556;12.65;3.273778;;2.883333;65.997651
13/03/2020;BE;6.566667;3.911111;10.122222;0.846667;;2.388889;74.691365
14/03/2020;BE;6.544444;2.861111;9.711111;0.254;;3.455556;80.708152
15/03/2020;BE;9.872222;6.538889;13.85;0.2032;;5.472222;74.127585
16/03/2020;BE;8.544444;3.955556;12.444444;0.0;;5.638889;82.074289
17/03/2020;BE;8.75;3.588889;14.05;0.0;;2.261111;63.872316
18/03/2020;BE;10.733333;6.0;16.161111;0.0;;5.122222;68.532767
19/03/2020;BE;9.366667;4.727778;13.622222;0.0;;6.322222;81.36328
20/03/2020;BE;6.972222;3.761111;8.622222;0.181429;;5.205556;88.627675
21/03/2020;BE;5.455556;2.822222;8.8;3.52425;;0.377778;69.914549
22/03/2020;BE;5.061111;0.133333;10.411111;0.1778;;-5.205556;47.602804
23/03/2020;BE;5.222222;-0.494444;11.377778;0.0;;-8.461111;36.828103
24/03/2020;BE;5.666667;-0.794444;11.805556;0.0;;-9.5;33.030125
25/03/2020;BE;5.088889;-1.35;10.922222;0.0;;-8.461111;37.153149
26/03/2020;BE;5.427778;-0.161111;10.383333;0.0;;-6.394444;42.37261
27/03/2020;BE;7.277778;0.911111;13.455556;0.0;;-1.022222;55.706729
28/03/2020;BE;8.216667;3.75;14.0;0.0;;1.311111;61.806107
29/03/2020;BE;4.022222;-0.177778;6.794444;0.127;;-4.083333;55.815154
30/03/2020;BE;3.066667;-2.95;7.861111;0.0762;;-3.527778;61.994666
31/03/2020;BE;4.544444;1.027778;9.038889;0.0;;-1.905556;63.041879
01/04/2020;BE;4.494444;-1.866667;10.211111;0.0;;-3.638889;55.618866
02/04/2020;BE;5.333333;-1.105556;9.55;0.0;;-0.15;67.756809
03/04/2020;BE;7.538889;4.483333;10.65;0.0;;0.777778;62.312895
04/04/2020;BE;9.533333;3.711111;15.294444;0.0;;-0.4;49.988356
05/04/2020;BE;13.961111;5.25;21.561111;0.0;;0.438889;39.68189
06/04/2020;BE;14.927778;9.733333;21.194444;0.0;;3.672222;46.950786
07/04/2020;BE;13.966667;6.772222;20.261111;0.03175;;8.055556;67.596539
08/04/2020;BE;16.938889;9.644444;24.111111;0.0254;;5.283333;46.447217
09/04/2020;BE;15.705556;8.933333;21.766667;0.0;;6.722222;55.205944
10/04/2020;BE;14.505556;7.861111;20.811111;0.0;;5.827778;56.057867
11/04/2020;BE;15.061111;7.05;22.344444;0.0254;;4.433333;49.109533
